query,query_id,query_type,first_answer,passage_text
what is zfs,19869,description,"ZFS is a transactional, Copy-On-Write filesystem.","ZFS is a transactional, Copy-On-Write filesystem. For each write request, a copy is made of the associated disk block(s) and all changes are made to the copy rather than to the original block(s). Once the write is complete, all block pointers are changed to point to the new copy."
how old do i have to be to be a bartender in texas,19870,numeric,Age 21,"Yet another reason that if I ever leave the great state of Texas you bet I will not set foot in Indiana. Even more strange is Illinois where you can serve at the age of 18...unless you are in the windy city of Chicago (which is the third largest in the nation) then you have to wait till you are 21. There are a plethora of different types of bars in the world, meaning there are a plethora of bartenders working in those bars! A bar with a clietele that skews younger (like a nightlcub on 6th street or clubs in downtown Houston) looks to hire people around the same age of their clientele."
what species is a dandelion,19871,entity,T. officinale,"Taraxacum /təˈraeksəkʉm/ təˈræksəkʉm is a large genus of flowering plants in the Family asteraceae and consists of species commonly known as. dandelion A number of species of Taraxacum are seed-dispersed ruderals that rapidly colonize disturbed soil, especially the common dandelion (T. officinale), which has been introduced over much of the temperate world. After flowering is finished, the dandelion flower head dries out for a day or two."
how much carbohydrates starches should a child eat per day,19872,numeric,130 gram,"Grams of Carbs. Determine the number of grams of carbs you need each day by calculating 45 to 65 percent of your total calorie intake, and dividing by 4. For example, if you eat a 2,000-calorie diet, shoot for 225 to 325 grams of carbs per day; and if you eat 2,500 calories a day, aim for 281 to 406 grams of carbs. Percent of Calories. According to the Institute of Medicine, children and adults should consume 45 to 65 percent of their calorie intake as carbohydrates, and at least 130 grams of carbs per day."
age limit to claim child as dependent on taxes,19873,numeric,Under 19.,"Qualifying Child. A dependent must be either a qualifying child or qualifying relative.. Only qualifying children have an age test. A qualifying child must be under 19 at the end of the year. If your child is a full-time student, you can claim an exemption until she's 24 years old. If she becomes permanently and totally disabled, you can potentially claim her as a dependent at any age"
who was actor larry parks,19874,person,"He was an American stage and movie actor.e eventually did so in tears, only to be blacklisted anyway.","Larry Parks (December 13, 1914 – April 13, 1975) was an American stage and movie actor. He eventually did so in tears, only to be blacklisted anyway. Larry Parks eventually gave up the names of his former colleagues and submitted to the HUAC. Following his admission before the committee, Columbia Pictures dropped him, and a romantic comedy he made for Metro-Goldwyn-Mayer was shelved for three years."
average cost of replacing tie rods,19875,numeric,$150 to $475,"1 On average, to replace both tie rods, the professional job can range anywhere from $150 to as much as $475. 2  If only one tie rod has to be replaced, you can often cut this price in half. 3  For those that want to complete the job themselves, the cost of parts can vary anywhere from $30 to as much as $120 per rod."
how to access xfinity dvr,19876,description,1 Press Menu on your remote twice to access the Main Menu. 2 Select Setup. 3 Select Anywhere Access Setup.,"You will need to be in front of each of your Comcast DVRs/TVs to set up the television portion, and on a computer with Internet access to set up the online portion. From your television with Comcast DVR: 1  Press Menu on your remote twice to access the Main Menu. 2  Select Setup. 3  Select Anywhere Access Setup. 4  Select Begin Setup. 5  On the next screen you will be presented with a unique access code that will enable you to continue your registration online."
bordetella pertussis cell morphology,19877,entity,Bordetella pertussis is a kind of bacteria. It is a gram-negative organism and has a morphology named coccobacillus.,"Bordetella Pertussis. Bordetella pertussis is a kind of bacteria. It is a gram-negative organism and has a morphology named coccobacillus. It is an aerobic organism, meaning that it has to be in an oxygenated atmosphere in order to survive. The disease has to live in a warmer temperature, like that of the human body. Pertussis is an infection of the respiratory system. It was called the whooping cough since victims of the disease make a whooping sound when breathing."
what temperature do you cook beef ribs,19878,numeric,The oven to approximately 400 degrees.,Cooking the Ribs. Lower the temperature of the oven to approximately 400 degrees Fahrenheit and place the pan with the beef ribs in it. Ensure that the lid is properly placed. Cook at this temperature for about 45 minutes. Then slow cook the beef ribs in the oven for three hours by lowering the temperature further to about 200 degrees Fahrenheit. Slow cooking the meat enables the maximum amount of fat to melt away
how much does it cost to upgrade your electrical panel,19879,numeric,"$800-$1,200 to have a upgrade an existing panel to 100 amps, or $1,500-$2,500 if a new panel is needed.","1 Typically it costs $800-$1,200 to have a qualified electrician upgrade an existing panel to 100 amps, or $1,500-$2,500 if a new panel is needed. 2  Expect to pay $1,300-$3,000 to upgrade to 200 amps, or $2,000-$4,000 to go to 400 amps. 3  Installing a new sub-panel runs $500-$1,000. Just a note on panel upgrades. For a majority of the states electrical code panels (2011 National Electrical Code), when upgrading a panel, a majority of breakers must be replaced with the Arc-Fault type. this may increase the past cost of the job by as much as $50 a breaker."
how long should a tattoo take to heal,19880,numeric,3 weeks.,"Best Answer: It takes a tattoo about 3 weeks to heal completely. It's fair to say it should be treated like an open wound for the first 2 weeks of this time. That means no swimming, soaking in the bath, or doing anything where the transfer of germs is possible."
how can i get a job as a food tester,19881,description,"Apply for position of food tester at any food manufacturing company. You must be at least 18 and have a high school education for an entry-level position. This involves tasting a sample of the food. Enjoy the food that you are testing.For example, if you apply to be a chocolate food tester, then you do need to like chocolate. You can sample many pieces of whatever food it is, so this is a very important consideration. Taste the food sample as part of your food tester duties.After you taste it, you must write a report on your findings.Sometimes you tell another person how it tastes, and that person writes the report. Take you job position very seriously.","Instructions. Apply for position of food tester at any food manufacturing company. You must be at least 18 and have a high school education for an entry-level position. This involves tasting a sample of the food. Enjoy the food that you are testing. For example, if you apply to be a chocolate food tester, then you do need to like chocolate. You can sample many pieces of whatever food it is, so this is a very important consideration. Taste the food sample as part of your food tester duties. After you taste it, you must write a report on your findings. Sometimes you tell another person how it tastes, and that person writes the report. Take you job position very seriously."
kinds of oils used for food,19882,entity,Vegetable oil,"Oil is used as an ingredient and is also used for frying. One of the most common cooking oils is vegetable oil, but do you really know what that is? Do you know what oils are best used for frying or the proper way to store it? Here you will find different types of common cooking oils and the proper use of each of them."
what is eclectic paradigm theory,19883,description,It is a theory in economics and is also known as the OLI-Model or OLI-Framework.,The eclectic paradigm is a theory in economics and is also known as the OLI-Model or OLI-Framework. It is a further development of the internalization theory and published by John H. Dunning in 1993. Internalization theory itself is based on the transaction cost theory.
what temp does frost hit,19884,numeric,0 to −3.5 °C (32.0 to 25.7 °F),"Frost or freezing occurs when the temperature of air falls below the freezing point of water (0 °C, 32 °F, 273.15 K). This is usually measured at the height of 1.2 m above the ground surface. There is a rather subjective scale to show several degrees of frost severity: 1  slight frost: 0 to −3.5 °C (32.0 to 25.7 °F). For example, frost is used sometimes to indicate ice which forms on the ground during cold nights, but other times to indicate air temperature below freezing point. Hoar frost should be used for any frosted surface but it is sometimes reserved to indicate big ice crystals forming on very cold surfaces."
where is milford sound located,19885,location,Milford Sound is located near the bottom of New Zealand's South Island in Fiordland National Park.,Milford Sound. Milford Sound is located near the bottom of New Zealand's South Island in Fiordland National Park. Milford Sound is known for its rain. It receives up to 8 metres of rain per year. This makes it one of the wettest places on earth. There's so much rain that the first few metres of water in the sound is fresh water!
abbreviation for semester,19886,description,"Following is the system of abbreviations and symbols used in the course listings that appear throughout this Bulletin. Part of each course number is an alphabetical prefix that indicates the University school, college, or program (first three letters) and the department (next two letters) in which the course originates.","Following is the system of abbreviations and symbols used in the course listings that appear throughout this Bulletin. Part of each course number is an alphabetical prefix that indicates the University school, college, or program (first three letters) and the department (next two letters) in which the course originates. For example, CAS HI 102 indicates a course in the College of Arts & Sciences, Department of History. Course descriptions usually offer a brief outline of the content of the course, any prerequisites or corequisites, the instructor, credit value, and semester the course is offered. Abbreviations frequently used are:"
what structures receive arterial blood from the brachiocephalic artery,19887,description,"Head, neck, and right arm.","The brachiocephalic artery is a branch off of the aortic arch and send blood to the head, neck, and right arm. Edit. Share to: 1  Blood Gas Testing for the COPD Patient If you have difficulty breathing, seek medical attention. 2  Shortness of breath is a symptom of a dangerous and progressive disease known as COPD."
spots on lungs that are not cancer,19888,description,Your lung nodule is more likely to be benign if: 1 You are younger than age 40. 2 You are a nonsmoker. 3 There is calcium in the nodule. 4 The nodule is small.,"A benign lung tumor is an abnormal growth of tissue that serves no purpose and is found not to be cancerous. Benign lung tumors may grow from many different structures in the lung. Determining whether a nodule is a benign tumor or an early stage of cancer is very important. The first thing that may come to mind is a dreaded word: cancer. In many cases, though, a lung nodule turns out to be benign. This means that it isn't cancer. A hard part is waiting and not knowing."
what is the time span of the roman empire,19889,numeric,27 BC to 476 AD,"The history of the Roman Empire covers the history of Ancient Rome from the fall of the Roman Republic in 27 BC until the abdication of the last Emperor in 476 AD. Rome had begun expanding shortly after the founding of the Republic in the 6th century BC, though didn't expand outside of Italy until the 3rd century BC. Civil war engulfed the Roman state in the mid 1st century BC, first between Julius Caesar and Pompey, and finally between Octavian and Mark Antony."
what is lactate in a blood test,19890,description,"A lactic acid test is a blood test that measures the level of lactic acid made in the body. Most of it is made by muscle tissue and red blood cells.When the oxygen level in the body is normal, carbohydrate breaks down into water and carbon dioxide.","Lactic Acid. Guide. A lactic acid test is a blood test that measures the level of lactic acid made in the body. Most of it is made by muscle tissue and red blood cells. When the oxygen level in the body is normal, carbohydrate breaks down into water and carbon dioxide. A lactic acid test is generally done on a blood sample taken from a vein in the arm but it may also be done on a sample of blood taken from an artery (arterial blood gas)."
in which Sc ecosystem is a horseshoe crab found,19891,entity,Delaware Bay ecosystem,"Horseshoe crabs are a keystone species within the Delaware Bay ecosystem. Description: Horseshoe crabs look like prehistoric crabs. They have a hard exoskeleton, ten walking legs under the shell, spines on the abdomen and a long tail. Most horseshoe crabs will not even make it to the larval stage before being eaten. If the egg survives, the larval horseshoe crab will hatch from the egg after about 2 weeks or more. The larva looks like a very tiny version of an adult horseshoe crab without a tail."
the cervical spine is composed of,19892,entity,Made up of 7 vertebrae.,"Overview. The cervical spine is made up of 7 vertebrae. The first 2, C1 and C2, are highly specialized and are given unique names: atlas and axis, respectively. C3-C7 are more classic vertebrae, having a body, pedicles, laminae, spinous processes, and facet joints."
kambos malaga contact,19893,description,(08) 9249 7776,"CAPS Malaga. Phone: (08) 9249 7776 | Location: 6 Trade Road, Malaga, WA | Web: http://www.caps.com.au. CAPS Malaga, we make it easier by being a one stop shop for all your compressed air needs. We stock a comprehensive range of compressors, air & power tools, dryers, lighting towers and generators."
what is the function of the ciliated mucous membrane in the nose,19894,description,"It is lined with mucous membrane, and most of the membrane is covered with minute hairlike projections called cilia.","The interior of the nose is lined with mucous membrane, and most of the membrane is covered with minute hairlike projections called cilia. Moving in waves these cilia sweep out from the nasal passages the nasal mucus, which may contain pollen, dust, and bacteria from the air. the specialized structure of the head that serves both as the organ of smell and as the first segment of the respiratory apparatus. Air breathed in through the nose is warmed, humidified and filtered by the richly vascular mucous membrane."
how many calories burned during aquafit,19895,numeric,240 calories.,"Calories Burned During Aquafit. A person weighing 125 pounds can burn an estimated 240 calories during a one hour aquafit workout. A person weighing 185 pounds may burn 356 calories during the same workout. The heavier you are the more energy it takes to do activities because your body has to move more weight. During the classes, you may perform calisthenic-type moves, use the water resistance while exercising with floaties, tread water, walk or jog -- all in waist-or neck-deep water. Although the calories burned vary, you may burn more than 200 calories per hour in an aquafit class."
thyroid autoimmune disease sugar,19896,entity,Quitting sugar is mandatory if you have an autoimmune disease. Sugar causes leaky gut.It inflames and mucks with the entire endocrine system and insulin spikes destroy the thyroid gland.,"A Little Gland with Big Problems. Hashimoto’s is an autoimmune disease of the thyroid. This little butterfly-shaped ball of endocrine activity happens to be rather important – it controls metabolism, female hormones, circadian rhythms and energy levels. Pretty much, as one specialist told me, everything that makes you feel good about being you. Quitting sugar, quite frankly, is mandatory if you have an autoimmune disease. Sugar causes leaky gut (often cited as the precursor to autoimmune disease). Sugar inflames and mucks with the entire endocrine system and insulin spikes destroy the thyroid gland. In addition to the damage caused by insulin, a compromised thyroid gland will slow the removal of insulin from the bloodstream"
how much does the masters champion win,19897,numeric,$1.8 million,"Next: Jordan Spieth wins The Masters: 3 things we learned. If Spieth is able to continue his marvelous tournament with a strong day in Sunday’s final round and win the green jacket, he will win $1.8 million in the process of being the youngest Masters winner since Tiger Woods. More From The Masters. 1  8/17 - Jordan Spieth installed as 2016 Masters favorite. The final round of The Masters is underway with Justin Spieth holding a four-stroke lead over Justin Rose before the two tee off at 2:50, but both are guaranteed a significant payday for their work over the previous three days at Augusta National."
is mauna loa active or dormant,19898,description,Active,"Mauna Loa's most recent eruption occurred from March 24 to April 15, 1984. No recent eruptions of the volcano have caused fatalities, but eruptions in 1926 and 1950 destroyed villages, and the city of Hilo is partly built on lava flows from the late 19th century. It is an active shield volcano with relatively gentle slopes, with a volume estimated at approximately 18,000 cubic miles (75,000 km 3), although its peak is about 120 feet (37 m) lower than that of its neighbor, Mauna Kea. Lava eruptions from Mauna Loa are silica-poor and very fluid, and they tend to be non-explosive"
what is a squa carcinoma,19899,description,"The Second Most Common Form of Skin Cancer. Squamous cell carcinoma (SCC) is an uncontrolled growth of abnormal cells arising in the squamous cells, which compose most of the skin’s upper layers (the epidermis).","The Second Most Common Form of Skin Cancer. Squamous cell carcinoma (SCC) is an uncontrolled growth of abnormal cells arising in the squamous cells, which compose most of the skin’s upper layers (the epidermis). SCCs often look like scaly red patches, open sores, elevated growths with a central depression, or warts; they may crust or bleed. "
what counts as northern europe,19900,description,"Northern Europe consist of (from west to east): Iceland, the British Isles, Scandinavia, Northern Germany, Finland, the Baltic States and Northwest Russia.","Geographically, northern Europe consist of (from west to east): Iceland, the British Isles, Scandinavia, Northern Germany, Finland, the Baltic States and Northwest Russia. With the exception of the UK and Ireland, northern European countries are known for harsh winters. For example, the Winter of 2010-2011 in Europe began in November throughout Northern Europe. Temperatures can reach as low as minus 50 degrees Celsius in some parts of northern Europe"
what is a hepatic hemangioma,19901,description,The most common type of liver tumor that is not caused by cancer. It may be a birth defect.,Causes. A hepatic hemangioma is the most common type of liver tumor that is not caused by cancer. It may be a birth defect. Hepatic hemangiomas can occur at any time. They are most common in people in their 30s to 50s. Women get these tumors more often than men and the tumors are often bigger.
cost of insulating a home,19902,numeric,$1 and $1.50 per square foot,"Cost breakdown. Generally, the typical home insulation costs include: 1  The Attic-according to the HomeInspectorLocator.com website the costs for insulating an attic to modern standards will run between $1 and $1.50 per square foot, though the costs increase by 100% when the insulation is one of the blown varieties."
is mount everest in china,19903,description,Yes,"Mount Everest is located on the border between Tibet and Nepal in the Himalayan Mountains in Asia. Everest is situated on the Tibetan Plateau known as Qing Zang Gaoyuan; the summit is directly between Tibet/China and Nepal. Climbing Mount Everest. Because the summit is directly between Tibet and Nepal, Mount Everest can be climbed either from the Tibet/China side (the north ridge) or from the Nepal side (the southeast ridge)."
weather morocco may,19904,description,21 degrees Celsius.,"As the weather gets warmer, there are numerous festivals in Morocco in May. One that is unique to Morocco is the Festival of the Roses which is celebrated in Kelaa-des-Mgouna. The average temperature during the month of May rises to 21 degrees Celsius. This figure incorporates a potential low of 14 degrees Celsius, which would likely occur at night, and a high of 27 degrees Celsius. Travellers can expect to en..."
what album is soulshine on,19905,entity,Where It All Begins.,"Soulshine  is a song recorded by The Allman Brothers Band and released on their 1994 album Where It All Begins. It was written by guitarist Warren Haynes with vocals by Gregg Allman. The song's title originates from Haynes' nickname, given by his father. A live version of the song, which appeared on the Allmans' 2003 DVD Live At The Beacon Theatre, had Allman and Haynes alternating vocals on the verses and harmonizing on the chorus. This has been the standard for the song in most recent years with the dual vocals."
what is xanax pills used for,19906,entity,Anxiety and Panic disorders.,"A: Xanax (alprazolam) is a medication that is in the group of medications called benzodiazepines that are used to treat anxiety and panic disorders. Antidepressants mainly work on specific chemicals in the brain: serotonin, norepinephrine and dopamine. Xanax is in a class of drugs called benzodiazepines, and is available in several forms including tablets, a liquid, disintegrating tablets, and extended release tablets. Xanax is made by Pfizer and was approved by the Food and Drug Administration (FDA) in 1981. It's also available as a generic drug."
how much does it cost american taxpayers to house american arrested for marijuana,19907,numeric,$8 billion dollars annually,"In reality, nearly 1 out of 8 U.S. drug prisoners are locked up for pot. Of course, several hundred thousand more Americans are arrested each year for violating marijuana laws, costing taxpayers another $8 billion dollars annually in criminal justice costs. Among those arrested, about 88 percent -- some 696,074 Americans -- were charged with possession only. The remaining 90,471 individuals were charged with sale/manufacture, a category that includes all cultivation offenses, even those where the marijuana was being grown for personal or medical use."
what is aldehydes and ketones,19908,description,Ketones and aldehydes are simple compounds that contain a carbonyl group (a carbon-oxygen double bond).,"In chemistry, a ketone (alkanone) /ˈkiːtoʊn/ is an organic compound with the structure RC(=O)R', where R and R' can be a variety of carbon-containing substituents. Ketones and aldehydes are simple compounds that contain a carbonyl group (a carbon-oxygen double bond). Ketones differ from aldehydes in that the carbonyl group (CO) is bonded to two carbons within a carbon skeleton. In aldehydes, the carbonyl is bonded to one carbon and one hydrogen and are located at the ends of carbon chains."
why is uranus tilted,19909,description,"Uranus poles is often pointed towards the Sun, giving Uranus very long seasons. The rings of Uranus are also sideways compared to the rings of other planets.","Yes, Uranus is really tilted on its side! Uranus has the largest tilt of any planet in our Solar System and it spins on its side. This means that one of Uranus' poles is often pointed towards the Sun, giving Uranus very long seasons. The rings of Uranus are also sideways compared to the rings of other planets."
"between what years did the bronze age,stone age and iron age era occur",19910,numeric,The Bronze Age is about 3700 BC to about 500 BC). Iron Age is 750 BC to AD 43. Stone age was around 2000 BCE.,"The Stone Age is a broad prehistoric period during which stone was widely used to make implements with a sharp edge, a point, or a percussion surface. The period lasted roughly 3.4 million years, and ended between 6000 BCE and 2000 BCE with the advent of metalworking. Stone Age artifacts include tools used by modern humans and by their predecessor species in the genus Homo, as well as the earlier partly contemporaneous genera Australopithecus and Paranthropus."
what influenced the impressionist movement,19911,person,Influenced by the development of photography and the discovery of Japanese woodcuts.,"1 Impressionist compositions were strongly influenced by the development of photography and the discovery of Japanese woodcuts. 2  Impressionism is now seen as the first movement in modern art, and had a huge influence on the development of art in the 20th century. 1 Impressionism was a style of painting that used a more scientific analysis of colour to capture the effects of light in nature. 2  The main artists associated with Impressionism were Claude Monet, Pierre Auguste Renoir, Camille Pissarro, Edgar Degas, Alfred Sisley and Henri Marie Raymond de Toulouse-Lautrec."
do hopi ear candles work,19912,description,Yes,"Hi, apple blossom, yes, hopi ear candles do big work for your ears. Hopi Ear Candle treatment dones with you lying down on a couch or reclined specialist chair. The all treatment lasts 45 mins to 1 hour. It is a gradual thing."
cast of ringer,19913,person,"Andrea Roth, Sarah Michelle, GellarKatherine Heigl and Brian Cox.","The cast members of The Ringer have been in many other movies, so use this list as a starting point to find actors or actresses that you may not be familiar with. This list is made up of actors like Katherine Heigl and Brian Cox."
what is greywater,19914,description,"Any household wastewater with the exception of wastewater from toilets, which is known as blackwater.","Greywater is any household wastewater with the exception of wastewater from toilets, which is known as blackwater. Typically, 50-80% of household wastewater is greywater from kitchen sinks, dishwashers, bathroom sinks, tubs and showers. Freshly generated greywater is not as nasty as blackwater, but if it's not handled properly it can soon become so. Greywater decomposes at a much faster rate than blackwater and if stored for as little as 24 hours, the bacteria in it use up all the oxygen and the greywater becomes anaerobic and turns septic."
qdoba salary,19915,numeric,"Qdoba average salary is $38,000, median salary is $38,000 with a salary range from $38,000 to $38,000.","Qdoba Salary. Qdoba average salary is $38,000, median salary is $38,000 with a salary range from $38,000 to $38,000. Qdoba salaries are collected from government agencies and companies. Each salary is associated with a real job position. Qdoba salary statistics is not exclusive and is for reference only."
normal level of tsh in children,19916,numeric,0.7 – 6.4 mIU/L,"1 An under active thyroid presents with a TSH ranging from 2mIU/L or more than that. 2  A TSH level count ranging between 0.5 and 3mIU/L confirms thyroid disorder. 3  The normal TSH range for newborns ranges from between 1 – 39 mIU/L. 4  The normal TSH levels for children ranges from between 0.7 – 6.4 mIU/L. 1 The range of normal TSH levels for full term newborns is higher, as it can range from between 1.3 and 16 micro units per ML of blood. 2  The TSH range gradually reduces to 0.9 to 7.7 micro units per milliliter after 30 days. 3  The TSH narrows to 0.6 to 5.5 micro units per milliliter in school going children"
name meaning of zadkiel,19917,description,Angel of mercy,"[ syll. zad-kiel, za-dki-el ] The baby boy name Zadkiel is pronounced Z AA DK IY-L †. Zadkiel's origin, as well as its use, is in the Hebrew language. Zadkiel is of the meaning 'angel of mercy'. Zadkiel is an uncommon baby name for boys. It is not listed within the top 1000 names. Baby names that sound like Zadkiel include Zaydel (Yiddish), Zdislaw (Polish), Zodel, and Tzadkiel (Hebrew)"
at what russian city on the volga did the germans suffer a major defeat,19918,location,Stalingard,"Nowhere is the Volga River more hallowed than in the city named after it: Volgograd, better known to history as Stalingrad. During World War II, perhaps the bloodiest battle in history took place there. A total of 2 million people were lost on both sides in the fighting from the summer of 1942 to February 1943."
what is the movie name that bonda uma producing,19919,entity,,
who was the president who caused the trail of tears,19920,person,Andrew Jackson,The Indian Removal Act (known as the Trail of Tears) took place over 11 years (1831 - 1842) and under 4 administrations: President Andrew Jackson 1829 - 1837: Jackson made t … he Indian Removal Act one of his key elements of his campaign.
what is a duc in france,19921,description,Bar-le-Duc,"To help you choose your destination as well as the place of the hotel here is: - pictures of Bar-le-Duc: photo Bar-le-Duc. - the map of Bar-le-Duc: map Bar-le-Duc. - the road map of Bar-le-Duc: road map Bar-le-Duc. Below here is the list the 50 closest hotels of Bar-le-Duc, sortable according your criteria. You will find the position of these 50 accommodations on the Bar-le-Duc hotels map. "
what molecules are made in the heterochromatin,19922,entity,Protein molecules,You won't believe these 10 facts about people. Euchromatin is a substance composed of DNA and protein molecules that makes up the bulk of material within a mammalian cell nucleus. It is one particular type of chromatin that is distinguished from heterochromatin both by its function and location. 
how long does a average person keep a car in us,19923,numeric,17.46 years,"Confidence votes 4. The average person will keep their car for 17.46 years. The average car lasts about three years longer than that, but around 30% will sell their car. That's why it's brought down to 17 years. The average person in the UK has braces for around 1 year depending on how bad your teeth are. If they are just slightly crooked or wonky then 9 months - 1 year maximum but, i … f they're really quite bad, you could be looking around 1.5 - 3 years."
is facility explorer tridium,19924,description,Yes,"The supervisory system is based on Tridium s Niagara Framework. Johnson Controls has tailored the system to support applications for the Johnson Controls field controllers that make the Facility Explorer system user friendly, flexible and easy to configure for a range of facilities."
ideal temperature to store eggs till incubation,19925,numeric,7 Days,"When handling quail eggs make sure that hands are washed to avoid bacterial contamination. Before incubation, quail eggs can be stored for up to 7 days. When storing quail eggs before incubating, make sure that they are kept at a constant temperature of 13-18 degrees Celsius or 55-65 degrees Fahrenheit. Do not store the quail eggs at ordinary room temperature or in a refrigerator. Avoid placing the quail eggs in a draft when in storage before incubation. Store quail eggs with the small end facing down. Try to keep the quail eggs at the correct humidity prior to incubation which is a humidity of 84-88%. Make sure the stored quail eggs are turned twice daily before they are incubated. Keep the stored quail eggs in an egg carton and prop up one end at a 35 degree angle. Hope this information helps. "
what does the huntingtin gene do,19926,description,It is responsible for Huntington disease (HD) and of the protein encoded by that gene.,huntingtin: The name of the gene responsible for Huntington disease (HD) and of the protein encoded by that gene. The molecular basis of HD is an increase in the length of a CAG triplet repeat (or 'polyglutamine') within the huntingtin gene. 
what are transform boundaries,19927,description,It is a type of fault whose relative motion is predominantly horizontal in either sinistral or dextral direction.,"Transform fault (the red lines). A transform fault or transform boundary, also known as conservative plate boundary since these faults neither create nor destroy lithosphere, is a type of fault whose relative motion is predominantly horizontal in either sinistral or dextral direction. Transform faults are closely related to transcurrent faults. Both types of faults are strike-slip or side-to-side in movement, (see diagrams to the right) however transform faults end at the junction of another plate boundary or fault type, while transcurrent faults die out without a junction."
what does acetylcholine do to your body,19928,description,"It is also used as a neurotransmitter in the autonomic nervous system, both as an internal transmitter for the sympathetic nervous system and as the final product released by the parasympathetic nervous system.","Acetylcholine is also used as a neurotransmitter in the autonomic nervous system, both as an internal transmitter for the sympathetic nervous system and as the final product released by the parasympathetic nervous system. Acetylcholine has functions both in the peripheral nervous system (PNS) and in the central nervous system (CNS) as a neuromodulator. In the peripheral nervous system, acetylcholine activates muscles, and is a major neurotransmitter in the autonomic nervous system."
cost of attending university of alabama,19929,numeric,"$9,826","Undergraduate Tuition. The University of Alabama tuition is $9,826 per year for in-state residents. This is 53% more expensive than the national average public four year tuition of $6,429. The cost is $2,726 and 22% cheaper than the average Alabama tuition of $12,552 for 4 year colleges. Tuition ranks 17th in Alabama amongst 4 year colleges for affordability and is the 25th most expensive 4 year college in the state. If attending from out-of-state, the tuition is $24,950 which represents a 154% premium. Annual Total Cost. The total list price for in-state Alabama residents to go to The University of Alabama is $23,742 for the 2014/2015 academic year. Out-of-state students who don't possess Alabama residence can expect a one year cost of $38,866."
what is fructose malabsorption symptoms,19930,entity,"The symptoms of fructose malabsorption have some similarities to those of irritable bowel syndrome (IBS) , food allergies, food intolerance, and the inability to digest properly (weak digestion).","Fructose malabsorption is a common digestive disorder in which absorption of fructose (or other sugars like lactose or sorbitol) in the small intestine is impaired. About 30-40% of people suffer from FM. Symptoms of fructose malabsorption. The symptoms of fructose malabsorption have some similarities to those of irritable bowel syndrome (IBS) , food allergies, food intolerance, and the inability to digest properly (weak digestion) . These symptoms can also be caused by yeast sensitivity or candida, from which around 1 in 3 people suffer"
what is the peloton,19931,description,"The peloton (from French, meaning little ball or platoon and cognate to the English word pellet) is the main group or pack of riders in a road bicycle race.","The peloton (from French, meaning little ball or platoon and cognate to the English word pellet) is the main group or pack of riders in a road bicycle race. Riders in a group save energy by riding close (drafting or slipstreaming) near (particularly behind) other riders. The peloton travels as an integrated unit (similar in some respects to birds flying in formation) with each rider making slight adjustments in response to their adjacent riders (particularly the one in front of each)."
in your opinion living on a farm or in city yahoo answer,19932,description,"Once your question has been posted for at least 1 hour and has at least one answer, click on 'Award Best Answer' button next to your chosen answer. 1 Upload failed. 2 Please upload a file larger than 100x100 pixels. 3 We are experiencing some problems, please try again.","Award Best Answer. Once your question has been posted for at least 1 hour and has at least one answer, click on 'Award Best Answer' button next to your chosen answer. 1  Upload failed. 2  Please upload a file larger than 100x100 pixels. 3  We are experiencing some problems, please try again. 4  You can only upload files of type PNG, JPG, or JPEG."
what does mrna do?,19933,description,The form of RNA that carries information from DNA in the nucleus to the ribosome sites of protein synthesis in the cell.,The noun MRNA has 1 sense: 1. the template for protein synthesis; the form of RNA that carries information from DNA in the nucleus to the ribosome sites of protein synthesis in the cell. Familiarity information: MRNA used as a noun is very rare. Dictionary entry details.
if a potato gets cold does it lose starch,19934,description,Yes,"More starch is removed from a cut potato than a whole peeled potato, because a greater surface area is exposed on cut potatoes. Soak them in cold water for as long as a few hours to remove more starch than by rinsing alone. You'll notice cloudiness and starch at the bottom of the bowl. If you simply want to reduce the amount of starch in your diet, discard the starch and water immediately after soaking the potatoes. But save the starch when you want to make extra crispy hash browns, latkes or home fries."
what is pecorino,19935,description,Term used to define Italian cheeses made from 100% sheep’s milk.,"Pecorino is a term used to define Italian cheeses made from 100% sheep’s milk. However, the American counterpart of the cheese is made from cow’s milk."
how much do freelance editors make,19936,numeric,$10 to $25 per hour.,"Developmental editing: $50 to $80 per hour Pace: 2 to 5 pages per hour. Of course, rates vary from one book editor to another. Some freelance book editors will work for $10 to $20 per hour, but you can expect experienced book editors to charge $25 or more per hour. Expect to pay more for editing technical writing or specialized subject matter, as well. "
uses of tea or coffee or alcohol,19937,description,Tea uses as medicinal drink. And coffee linked to some healtg benefits such as lower risk of certain types of cancer.,"Tea originated in the southwest of China, possibly as a medicinal drink. It became a popular drink throughout China during the Tang dynasty, and tea drinking spread to other East Asian countries. Portuguese priests and merchants introduced it to the West during the 16th century. Tea is an aromatic beverage commonly prepared by pouring hot or boiling water over cured leaves of the Camellia sinensis, an evergreen shrub native to Asia. After water, it is the most widely consumed drink in the world"
what is a terrestrial biome,19938,description,"A land biome such as rain forest, deciduous forests, tundra and such By the way.","Terrestrial Biomes: Tropical forest Savanna Desert Extreme Desert Chaparral Grassland Deciduous forest Taiga Tundra Biomes are often named for their predominant vegetation, and all have certain characteristics such as microorganisms, fungi, and animals which have adapted to their particular environment. Terrestrial biome is a land biome such as rain forest, deciduous forests, tundra and such By the way, extra terrestrial is from outer space, like E.T. ;). Green Phoenix · 7 years ago. Thumbs up. 0."
